setV,readV,readV_function
15,-21.05881976950741,21.05881976950741
15,-21.171154460546404,21.171154460546404
15,-21.208187875174644,21.208187875174644
15,-21.23904905403151,21.23904905403151
15,-21.245221289802885,21.245221289802885
15,-21.28595804589395,21.28595804589395
15,-21.388417159698747,21.388417159698747
15,-21.409402761321417,21.409402761321417
15,-21.463718436109502,21.463718436109502
15,-21.493345167812095,21.493345167812095
10,-21.825411452311982,21.825411452311982
10,-21.86985154986587,21.86985154986587
10,-21.942683931968077,21.942683931968077
10,-22.04637749292715,22.04637749292715
10,-22.10439650917806,22.10439650917806
10,-22.374740435964213,22.374740435964213
10,-22.63767767982472,22.63767767982472
10,-23.153676590311534,23.153676590311534
10,-23.60671869593034,23.60671869593034
10,-24.444908313682845,24.444908313682845
20,-25.212734443641693,25.212734443641693
20,-25.654666524872027,25.654666524872027
20,-25.657135419180577,25.657135419180577
20,-25.67688657364897,25.67688657364897
20,-25.73737448420843,25.73737448420843
20,-25.78181458176232,25.78181458176232
20,-25.827489126470482,25.827489126470482
20,-25.8509436224017,25.8509436224017
20,-26.17560322397594,26.17560322397594
20,-26.855783605981287,26.855783605981287
25,-30.835641231362843,30.835641231362843
25,-30.891191353305203,30.891191353305203
25,-31.03068388173824,31.03068388173824
25,-31.044262800435263,31.044262800435263
25,-31.178817540251202,31.178817540251202
25,-31.30720004429577,31.30720004429577
25,-31.81949561331976,31.81949561331976
25,-31.952815905981424,31.952815905981424
25,-31.955284800289974,31.955284800289974
25,-32.230566515693226,32.230566515693226
30,-36.38941897844461,36.38941897844461
30,-36.56347602719734,36.56347602719734
30,-36.76098757188129,36.76098757188129
30,-36.94615464502249,36.94615464502249
30,-37.03133149866744,37.03133149866744
30,-37.10292943361537,37.10292943361537
30,-37.16218289702056,37.16218289702056
30,-37.25229753928261,37.25229753928261
30,-37.420182352263964,37.420182352263964
30,-37.660899547347526,37.660899547347526
35,-41.498795749987494,41.498795749987494
35,-41.97776124584607,41.97776124584607
35,-42.19749283930696,42.19749283930696
35,-42.38019101813961,42.38019101813961
35,-42.38142546529389,42.38142546529389
35,-42.38389435960244,42.38389435960244
35,-42.67769278231981,42.67769278231981
35,-42.95791228634016,42.95791228634016
35,-43.35170092855378,43.35170092855378
35,-43.81585305856106,43.81585305856106
40,-47.684610440057895,47.684610440057895
40,-47.756208375005826,47.756208375005826
40,-48.26726949687554,48.26726949687554
40,-48.275910626955465,48.275910626955465
40,-48.31417848873798,48.31417848873798
40,-48.39812089522866,48.39812089522866
40,-48.558599025284366,48.558599025284366
